fusion_node_name,gpu_limit,cpu_limit,avg_latency
controller,16,1000,222.31034482758622
controller,16,1200,194.07758620689654
controller,16,1400,166.40086206896552
controller,16,1600,152.48491379310346
controller,16,1800,131.79094827586206
controller,16,2000,118.87068965517241
controller,16,2200,114.08620689655173
controller,16,2400,116.71551724137932
controller,16,2600,99.87068965517241
controller,16,2800,112.15086206896552
controller,16,3000,119.70258620689656
controller,16,3200,116.14008620689656
controller,16,3400,119.35344827586206
controller,16,3600,104.15948275862068
controller,16,3800,107.79956896551724
controller,16,4000,111.50862068965517
controller,16,4200,122.32974137931035
controller,16,4400,116.63577586206897
controller,16,4600,106.60344827586206
controller,16,4800,117.55172413793103
controller,16,5000,120.03232758620689
controller,20,1000,218.50646551724137
controller,20,1200,193.83405172413794
controller,20,1400,168.23491379310346
controller,20,1600,148.6573275862069
controller,20,1800,128.27155172413794
controller,20,2000,122.04956896551724
controller,20,2200,110.68103448275862
controller,20,2400,102.88793103448276
controller,20,2600,101.24137931034483
controller,20,2800,102.64224137931035
controller,20,3000,94.90517241379311
controller,20,3200,95.27155172413794
controller,20,3400,100.1875
controller,20,3600,99.32758620689656
controller,20,3800,97.28879310344827
controller,20,4000,100.14008620689656
controller,20,4200,96.90301724137932
controller,20,4400,96.29525862068965
controller,20,4600,87.0625
controller,20,4800,87.6896551724138
controller,20,5000,89.10560344827586
controller,25,1000,222.0280172413793
controller,25,1200,194.07758620689654
controller,25,1400,172.67241379310346
controller,25,1600,149.4676724137931
controller,25,1800,136.10344827586206
controller,25,2000,119.90086206896552
controller,25,2200,108.73922413793103
controller,25,2400,104.42456896551724
controller,25,2600,102.0625
controller,25,2800,94.79310344827586
controller,25,3000,90.21551724137932
controller,25,3200,83.62068965517241
controller,25,3400,80.6228448275862
controller,25,3600,81.04956896551724
controller,25,3800,71.82543103448276
controller,25,4000,68.65301724137932
controller,25,4200,65.89655172413794
controller,25,4400,67.13577586206897
controller,25,4600,70.02801724137932
controller,25,4800,62.685344827586206
controller,25,5000,67.93103448275862
controller,33,1000,220.83620689655172
controller,33,1200,193.82974137931035
controller,33,1400,172.92241379310346
controller,33,1600,148.14008620689654
controller,33,1800,133.96336206896552
controller,33,2000,120.33189655172414
controller,33,2200,107.42672413793103
controller,33,2400,103.78663793103448
controller,33,2600,100.92241379310344
controller,33,2800,93.08405172413794
controller,33,3000,88.37068965517241
controller,33,3200,83.26508620689656
controller,33,3400,80.14224137931035
controller,33,3600,75.46551724137932
controller,33,3800,71.76077586206897
controller,33,4000,69.88146551724138
controller,33,4200,66.60344827586206
controller,33,4400,64.16594827586206
controller,33,4600,62.23706896551724
controller,33,4800,60.68103448275862
controller,33,5000,60.05818965517241
controller,50,1000,223.4094827586207
controller,50,1200,192.11853448275863
controller,50,1400,171.39655172413794
controller,50,1600,147.95689655172413
controller,50,1800,133.9698275862069
controller,50,2000,115.85560344827586
controller,50,2200,108.32758620689656
controller,50,2400,103.3103448275862
controller,50,2600,101.08189655172414
controller,50,2800,94.05818965517241
controller,50,3000,88.46120689655173
controller,50,3200,83.53232758620689
controller,50,3400,76.5646551724138
controller,50,3600,73.58405172413794
controller,50,3800,71.70474137931035
controller,50,4000,70.46767241379311
controller,50,4200,66.17672413793103
controller,50,4400,64.17025862068965
controller,50,4600,62.952586206896555
controller,50,4800,60.713362068965516
controller,50,5000,60.18318965517241
controller,100,1000,219.81465517241378
controller,100,1200,193.5969827586207
controller,100,1400,170.3168103448276
controller,100,1600,152.2219827586207
controller,100,1800,130.79094827586206
controller,100,2000,120.59267241379311
controller,100,2200,108.9375
controller,100,2400,104.19181034482759
controller,100,2600,102.67025862068965
controller,100,2800,96.04094827586206
controller,100,3000,96.65732758620689
controller,100,3200,87.49353448275862
controller,100,3400,80.53663793103448
controller,100,3600,76.59698275862068
controller,100,3800,71.63146551724138
controller,100,4000,70.61853448275862
controller,100,4200,67.39655172413794
controller,100,4400,64.20689655172414
controller,100,4600,63.76724137931034
controller,100,4800,61.672413793103445
controller,100,5000,59.015086206896555
