CPULimit,GPULimit,AvgLatency,AvgCPUUsage,MaxCPUUsage,AvgMemoryUsage,MaxMemoryUsage,HighLoadRatio,TaskNumber
0,,251ms,NaN,0,NaN,0,NaN,3
0,,170ms,NaN,0,NaN,0,NaN,3
0,,134ms,NaN,0,NaN,0,NaN,3
0,,105ms,NaN,0,NaN,0,NaN,3
0,,84ms,NaN,0,NaN,0,NaN,3
0,,76ms,NaN,0,NaN,0,NaN,3
0,,70ms,NaN,0,NaN,0,NaN,3
0,,62ms,NaN,0,NaN,0,NaN,3
0,,54ms,NaN,0,NaN,0,NaN,3
0,,48ms,NaN,0,NaN,0,NaN,3
0,,50ms,NaN,0,NaN,0,NaN,3
0,,46ms,NaN,0,NaN,0,NaN,3
0,,41ms,NaN,0,NaN,0,NaN,3
0,,41ms,NaN,0,NaN,0,NaN,3
0,,37ms,NaN,0,NaN,0,NaN,3
0,,40ms,NaN,0,NaN,0,NaN,3
0,,39ms,NaN,0,NaN,0,NaN,3
0,,36ms,NaN,0,NaN,0,NaN,3
0,,40ms,NaN,0,NaN,0,NaN,3
